.	0	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	0	2607	2644	2753	3067	3390	3744	4230	4760	5475	9980	34460	35905	36760	281897	286510	293326	294923	297045	301075	303867	307186	316542	324724	328872	346819	368189	1075318	1113286	1127985	1260076	2329248	6101703	9252728	13492016	13580680	13640231	13736719	14426728	14466761	14983629	14985247	
.	1	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	1	5006	5037	5135	5484	5838	6305	6971	25163	25979	29783	46943	49758	97037	216491	221470	229595	231671	234177	238866	242063	264822	307634	316608	321858	339070	360121	814874	846800	864848	975426	1874231	5829311	8871464	13473398	13564101	13624254	13732990	14423677	14465058	14983527	14985247	
.	2	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	2	35606	36171	36256	36566	36940	37370	38051	59643	60449	65053	82297	84981	129576	193973	197933	205704	207934	210744	214823	218486	236017	281963	291198	296489	313938	334245	672699	706586	725483	832894	1663810	4698822	7844188	12492001	12585060	12646984	13736617	14422654	14465157	14983454	14985247	
.	3	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	3	323	351	455	761	1171	1544	2111	24856	25522	31567	44904	47156	93334	157216	160998	165495	167724	169975	213745	217616	234847	277932	283576	288895	304308	318586	577997	607065	625951	676691	735960	3715938	5205657	6327159	6933658	6999639	13739503	14420401	14463598	14983371	14985247	
.	4	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	4	994	1025	1118	1434	1856	2246	2834	27867	28630	33720	42948	44974	94645	142867	146520	151480	153959	156398	166490	170548	189683	235423	241196	246596	262189	278051	470094	510187	529028	583968	643730	3468464	5054175	6164111	6791884	6920421	13741149	14419123	14464384	14982182	14985247	
.	5	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	5	967	1007	1095	1413	1829	2304	3135	31601	32366	36354	45809	47667	120023	179278	183069	186272	191744	195558	200886	204841	232512	279621	288726	293977	309926	324674	474939	501625	524569	578861	641394	1020798	1675642	2730330	3330202	4388519	12698428	13416737	13461542	13980097	14985247	
.	6	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	6	170	194	296	581	913	1357	2075	35978	36577	39955	49413	51727	125882	181283	185412	188371	193004	196818	202066	205732	231017	279574	288599	294186	310480	326008	463741	490421	515003	572077	640079	1023806	1648817	2695068	3301822	4357423	12680288	13391067	13435249	13954897	14985247	
.	7	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	7	1307	1334	1424	1756	2122	2557	3322	38836	39451	42831	51918	53735	129197	185445	189390	192453	197264	200973	206418	210316	234570	283885	292577	298253	316117	332078	471401	497902	523945	583224	654250	1046694	1660518	2696913	3304894	4360280	12679501	13383480	13427706	13945964	14985247	
.	8	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	8	2608	2639	2734	3074	3488	3976	4906	41011	41642	45346	53582	55520	131170	182956	186830	189681	194358	198184	203649	207606	231289	281698	290496	296041	314340	325711	466351	492069	518911	579338	652900	1039371	1626336	2678167	2908397	3904095	8615131	9610396	13424486	13941522	14985247	
.	9	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	9	630	663	744	1032	1382	1761	2632	39176	39745	43173	51597	53453	129267	179420	183324	186282	190713	194517	200156	204249	227772	278154	287284	292989	312013	323696	465100	490646	518287	580882	655999	1049450	1637503	2680266	2913886	3911295	8630177	9627907	13421443	13939423	14985247	
.	10	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	10	103	134	222	546	878	1325	2322	38968	39637	43301	52284	54126	130424	180035	184142	187542	192439	196402	201906	206344	230586	281481	291216	297415	314234	326008	467005	491200	517728	578467	653299	1045832	1627539	2664723	2902806	3906144	8625359	9629206	13425281	13939285	14985247	
